Code,State,Clear_Days,mPS(20m),Petroleum-Fired(%),Natural_Gas-Fired(%),Coal-Fired(%),Nuclear(%),Renewables(%),clust
AL,Alabama,99.0,9.85,0.0,48.2,18.3,25.6,7.8,0
AK,Alaska,61.0,10.96,14.3,51.7,0.0,0.0,25.2,1
AZ,Arizona,193.0,10.68,0.0,50.6,12.3,25.5,11.4,0
AR,Arkansas,123.0,11.02,0.1,36.1,36.3,22.8,4.5,0
CA,California,146.0,9.08,0.0,45.4,0.1,6.5,46.5,1
CO,Colorado,136.0,13.52,0.0,38.9,35.1,0.0,26.3,1
CT,Connecticut,82.0,9.37,0.2,60.8,0.0,35.0,2.9,0
DE,Delaware,97.0,8.65,0.0,89.0,6.6,0.0,1.3,1
FL,Florida,101.0,9.81,0.1,76.5,7.9,9.6,4.0,1
GA,Georgia,112.0,10.28,0.1,50.4,17.0,24.4,8.7,0
HI,Hawaii,90.0,9.4,66.2,0.0,13.0,0.0,16.4,1
ID,Idaho,120.0,13.8,0.0,25.3,0.0,0.0,74.3,0
IL,Illinois,95.0,12.25,0.0,23.7,22.6,48.6,4.8,0
IN,Indiana,88.0,11.96,0.2,37.6,56.6,0.0,4.0,0
IA,Iowa,105.0,12.13,0.1,19.9,41.3,6.2,32.3,1
KS,Kansas,128.0,12.94,0.0,9.2,42.2,16.9,31.6,0
KY,Kentucky,93.0,10.9,0.1,25.7,68.2,0.0,5.9,1
LA,Louisiana,101.0,9.12,0.0,72.1,5.1,14.5,2.1,1
ME,Maine,101.0,11.36,0.1,34.6,0.5,0.0,61.7,0
MD,Maryland,105.0,13.23,0.5,42.1,21.3,30.8,4.4,0
MA,Massachusetts,98.0,10.57,0.4,85.6,0.0,0.0,12.3,1
MI,Michigan,71.0,11.73,0.1,43.2,27.4,22.1,7.2,0
MN,Minnesota,95.0,12.41,0.0,24.5,33.0,21.8,20.1,0
MS,Mississippi,111.0,10.18,0.0,77.1,7.5,13.1,2.3,1
MO,Missouri,115.0,12.95,0.1,17.4,67.4,11.8,3.0,1
MT,Montana,82.0,14.1,0.0,2.4,35.0,0.0,60.2,0
NE,Nebraska,117.0,12.41,0.0,8.2,56.7,15.5,19.5,0
NV,Nevada,158.0,11.68,0.0,66.6,6.4,0.0,26.9,1
NH,New Hampshire,90.0,11.48,0.1,35.5,0.0,53.0,11.2,0
NJ,New Jersey,94.0,9.61,0.0,60.4,1.1,34.6,3.2,0
NM,New Mexico,167.0,11.95,0.1,38.4,42.6,0.0,18.5,1
NY,New York,63.0,10.44,0.3,55.4,0.0,22.1,22.0,0
NC,North Carolina,109.0,12.06,0.1,33.3,26.3,28.0,12.0,0
ND,North Dakota,93.0,12.6,0.1,4.8,63.7,0.0,31.2,1
OH,Ohio,72.0,10.83,0.1,46.0,38.1,13.1,1.5,1
OK,Oklahoma,139.0,11.03,0.0,64.2,12.5,0.0,23.4,1
OR,Oregon,68.0,10.98,0.0,25.7,3.5,0.0,70.8,0
PA,Pennsylvania,87.0,11.68,0.1,57.4,11.4,28.0,3.1,0
RI,Rhode Island,98.0,10.0,0.0,94.5,0.0,0.0,5.4,1
SC,South Carolina,115.0,10.65,0.1,27.9,16.6,50.5,5.8,0
SD,South Dakota,104.0,14.29,0.0,16.6,12.0,0.0,71.3,0
TN,Tennessee,102.0,11.68,0.2,21.5,29.6,39.3,10.3,0
TX,Texas,135.0,10.42,0.0,58.2,16.7,7.5,17.0,1
UT,Utah,125.0,12.24,0.1,29.7,55.8,0.0,14.2,1
VT,Vermont,58.0,12.11,0.0,0.1,0.0,0.0,99.8,0
VA,Virginia,100.0,12.95,0.3,61.5,10.0,23.9,5.5,0
WA,Washington,58.0,10.07,0.0,9.6,1.9,7.1,81.0,0
WV,West Virginia,60.0,12.55,0.2,5.8,90.3,0.0,3.7,0
WI,Wisconsin,89.0,12.34,0.0,33.8,44.8,13.7,7.4,0
WY,Wyoming,114.0,14.0,0.1,4.2,83.7,0.0,11.1,1
